time_iso8601,stars_cumulative
2026-04-17 00:00:00+00:00,1
2026-04-20 00:00:00+00:00,2
2026-04-21 00:00:00+00:00,3
2026-09-11 00:00:00+00:00,4
2026-09-12 00:00:00+00:00,4
