time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,97,38,13,2
2026-04-12 00:00:00+00:00,2,2,0,0
2026-04-13 00:00:00+00:00,3,3,0,0
2026-04-14 00:00:00+00:00,36,17,0,0
2026-04-15 00:00:00+00:00,144,64,6,1
2026-04-16 00:00:00+00:00,94,36,18,3
2026-04-17 00:00:00+00:00,5,4,1,1
2026-04-18 00:00:00+00:00,38,15,2,2
2026-04-19 00:00:00+00:00,1,1,0,0
2026-04-20 00:00:00+00:00,2,2,0,0
2026-04-21 00:00:00+00:00,19,8,0,0
2026-04-22 00:00:00+00:00,31,9,9,1
2026-04-23 00:00:00+00:00,70,24,0,0
2026-04-24 00:00:00+00:00,5,2,1,1
