time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,2,2,0,0
2026-07-05 00:00:00+00:00,20,11,0,0
2026-07-06 00:00:00+00:00,34,16,0,0
2026-07-07 00:00:00+00:00,19,9,0,0
2026-07-08 00:00:00+00:00,11,7,0,0
2026-07-09 00:00:00+00:00,29,14,0,0
2026-07-10 00:00:00+00:00,1,1,0,0
2026-07-11 00:00:00+00:00,13,9,1,1
2026-07-12 00:00:00+00:00,12,6,0,0
2026-07-13 00:00:00+00:00,5,5,0,0
2026-07-14 00:00:00+00:00,23,13,0,0
2026-07-15 00:00:00+00:00,19,10,0,0
2026-07-16 00:00:00+00:00,69,26,20,1
2026-07-17 00:00:00+00:00,37,22,1,1
