time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,1,1,0,0
2026-05-31 00:00:00+00:00,48,17,0,0
2026-06-01 00:00:00+00:00,5,4,0,0
2026-06-02 00:00:00+00:00,41,17,0,0
2026-06-03 00:00:00+00:00,9,3,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,4,3,0,0
2026-06-06 00:00:00+00:00,68,24,0,0
2026-06-07 00:00:00+00:00,1,1,0,0
2026-06-08 00:00:00+00:00,10,7,0,0
2026-06-09 00:00:00+00:00,0,0,0,0
2026-06-10 00:00:00+00:00,21,7,0,0
2026-06-11 00:00:00+00:00,10,6,0,0
2026-06-12 00:00:00+00:00,1,1,1,1
