time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,68,24,0,0
2026-06-07 00:00:00+00:00,1,1,0,0
2026-06-08 00:00:00+00:00,10,7,0,0
2026-06-09 00:00:00+00:00,0,0,0,0
2026-06-10 00:00:00+00:00,21,7,0,0
2026-06-11 00:00:00+00:00,10,6,0,0
2026-06-12 00:00:00+00:00,1,1,1,1
2026-06-13 00:00:00+00:00,32,12,0,0
2026-06-14 00:00:00+00:00,24,7,0,0
2026-06-15 00:00:00+00:00,12,4,0,0
2026-06-16 00:00:00+00:00,0,0,0,0
2026-06-17 00:00:00+00:00,13,6,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,6,3,0,0
