time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,0,0,0,0
2026-05-24 00:00:00+00:00,0,0,0,0
2026-05-25 00:00:00+00:00,1,1,0,0
2026-05-26 00:00:00+00:00,12,8,0,0
2026-05-27 00:00:00+00:00,5,4,0,0
2026-05-28 00:00:00+00:00,0,0,0,0
2026-05-29 00:00:00+00:00,2,2,2,2
2026-05-30 00:00:00+00:00,1,1,0,0
2026-05-31 00:00:00+00:00,48,17,0,0
2026-06-01 00:00:00+00:00,5,4,0,0
2026-06-02 00:00:00+00:00,41,17,0,0
2026-06-03 00:00:00+00:00,9,3,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,4,3,0,0
