time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,16,8,0,0
2026-04-05 00:00:00+00:00,6,6,0,0
2026-04-06 00:00:00+00:00,62,28,21,1
2026-04-07 00:00:00+00:00,19,9,0,0
2026-04-08 00:00:00+00:00,3,3,7,2
2026-04-09 00:00:00+00:00,46,15,2,1
2026-04-10 00:00:00+00:00,1,1,0,0
2026-04-11 00:00:00+00:00,97,38,13,2
2026-04-12 00:00:00+00:00,2,2,0,0
2026-04-13 00:00:00+00:00,3,3,0,0
2026-04-14 00:00:00+00:00,36,17,0,0
2026-04-15 00:00:00+00:00,144,64,6,1
2026-04-16 00:00:00+00:00,94,36,18,3
2026-04-17 00:00:00+00:00,5,4,1,1
