time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,0,0,0,0
2026-05-31 00:00:00+00:00,0,0,0,0
2026-06-01 00:00:00+00:00,0,0,0,0
2026-06-02 00:00:00+00:00,0,0,0,0
2026-06-03 00:00:00+00:00,0,0,0,0
2026-06-04 00:00:00+00:00,0,0,0,0
2026-06-05 00:00:00+00:00,0,0,0,0
2026-06-06 00:00:00+00:00,0,0,0,0
2026-06-07 00:00:00+00:00,0,0,0,0
2026-06-08 00:00:00+00:00,0,0,0,0
2026-06-09 00:00:00+00:00,0,0,0,0
2026-06-10 00:00:00+00:00,7,6,3,1
2026-06-11 00:00:00+00:00,50,32,3,1
2026-06-12 00:00:00+00:00,4,4,0,0
2026-06-13 00:00:00+00:00,89,26,19,2
2026-06-14 00:00:00+00:00,25,11,0,0
2026-06-15 00:00:00+00:00,2,2,0,0
2026-06-16 00:00:00+00:00,41,14,0,0
2026-06-17 00:00:00+00:00,1,1,0,0
2026-06-18 00:00:00+00:00,1,1,0,0
2026-06-19 00:00:00+00:00,0,0,0,0
2026-06-20 00:00:00+00:00,1,1,0,0
2026-06-21 00:00:00+00:00,4,4,0,0
2026-06-22 00:00:00+00:00,2,2,0,0
2026-06-23 00:00:00+00:00,1,1,0,0
2026-06-24 00:00:00+00:00,8,3,0,0
2026-06-25 00:00:00+00:00,0,0,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
