time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,88,47,54,40
2026-04-19 00:00:00+00:00,89,49,199,79
2026-04-20 00:00:00+00:00,9,9,60,41
2026-04-21 00:00:00+00:00,9,8,22,10
2026-04-22 00:00:00+00:00,24,9,9,9
2026-04-23 00:00:00+00:00,89,10,9,7
2026-04-24 00:00:00+00:00,30,12,5,4
2026-04-25 00:00:00+00:00,19,10,3,2
2026-04-26 00:00:00+00:00,101,14,8,6
2026-04-27 00:00:00+00:00,0,0,5,4
2026-04-28 00:00:00+00:00,72,3,1,1
2026-04-29 00:00:00+00:00,74,5,0,0
2026-04-30 00:00:00+00:00,148,7,1,1
2026-05-01 00:00:00+00:00,145,7,2,2
