time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,1,1,0,0
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,17,9,0,0
2026-04-14 00:00:00+00:00,1,1,0,0
2026-04-15 00:00:00+00:00,8,4,0,0
2026-04-16 00:00:00+00:00,3,3,2,2
2026-04-17 00:00:00+00:00,1,1,0,0
2026-04-18 00:00:00+00:00,88,47,54,40
2026-04-19 00:00:00+00:00,89,49,199,79
2026-04-20 00:00:00+00:00,9,9,60,41
2026-04-21 00:00:00+00:00,9,8,22,10
2026-04-22 00:00:00+00:00,24,9,9,9
2026-04-23 00:00:00+00:00,89,10,9,7
2026-04-24 00:00:00+00:00,30,12,5,4
